Cyan Glass
Purple Glass
Blue Glass
Brown Glass
Green Glass
Red Glass
Black Glass
Glass Pane
White Glass Pane
Orange Glass Pane
Magenta Glass Pane
Light Blue Glass Pane
Yellow Glass Pane
Lime Glass Pane
Pink Glass Pane
Dark Grey Glass Pane
Grey Glass Pane
Cyan Glass Pane
Purple Glass Pane
Blue Glass Pane
Brown Glass Pane
Green Glass Pane
Red Glass Pane
Black Glass Pane
Jukebox
Bookshelf
Jack o lantern
Iron Bar
Torch
Fence
Nether Brick Fence
Dragon Egg
Painting
Clay Pot
Sign
Bed
Mob Heads
Crafting Table
Furnace
Chest
Trapped Chest
Ender Chest
Hopper
Anvil
Item Frame
Beacon
Enchantment Table
End Portal
Brewing Stand
Cauldron
Ladder
Redstone Block
Redstone Dust
Redstone Torch
Redstone Repeater
Redstone Comparator
Lever
Wooden Button
Stone Button
Stone Pressure Plate
Wooden Pressure Plate
Gold Pressure Plate
Iron Pressure Plate
Tripwire Hook
Light Sensor
Dispenser
Dropper
Noteblock
Redstone Lamp
TNT
Piston
Sticky Piston
Wooden Door
Iron Door
Trapdoor
Fence Gate
Rail
Powered Rail
Detector Rail
Activator Rail
Minecart
Storage Cart
Furnace Cart
TNT Cart
Hopper Cart
Boat
Saddle
Oak Sapling
Spruce Sapling
Birch Sapling
Jungle Sapling
Acacia Sapling
Dark Oak Sapling
Tall Grass
Fern
Dead Bush
Vine
Dandelion
Poppy
Blue Orchid
Allium
Azure Bluet
Red Tulip
Orange Tulip
White Tulip
Pink Tulip
Oxeye Daisy
Brown Mushroom
Red Mushroom
Sunflower
Lilac
Double Tall Grass
Double Tall Fern
Rose Bush
Peony
Cactus
Lily Pad
Seeds
Pumpkin Seeds
Melon Seeds
Sugarcane
Pumpkin
Melon Block
Hay Bale
Apple
Golden Apple
Enchanted Apple
Golden Carrot
Melon Slice
Wheat
Carrot
Potato
Baked Potato
Poisonous Potato
Bread
Cake
Pumpkin Pie
Cookie
Raw Porkchop
Cooked Porkchop
Raw Beef
Cooked Steak
Raw Chicken
Cooked Chicken
Raw Fish
Raw Salmon
Goldfish
Pufferfish
Cooked Fish
Cooked Salmon
Mushroom Soup
Milk Bucket
Coal
Charcoal
Iron Ingot
Gold Nugget
Gold Ingot
Diamond
Emerald
Quartz Shard
Nether Star
Water Block
Lava Block
Water Bucket
Lava Bucket
Stick
Flint
Glowstone Dust
Snowball
Leather
Brick Item
Clay Item
Nether Brick Item
Paper
Book
Sugar
String
Feather
Egg
Gunpowder
Slimeball
Bone
Water Bottle
Nether Wart
Fermented Spider Eye
Blaze Powder
Magma Cream
Ender Eye
Glistening Melon
Rotten Flesh
Blaze Rod
Ghast Tear
Spider Eye
Enderpearl
Fire Charge
Lead
Bowl
Bucket
Glass Bottle
Carrot on a Stick
Bottle'o Enchanting
Enchanted Book
Book and Quill
Written Book
Empty Map
Written Map
Nametag
Firework Star
Firework Rocket
Music Discs
Spawn Eggs
Potions
Ink Sack
Rose Red
Cactus Green
Cocoa Bean
Lapis Lazuli
Purple Dye
Cyan Dye
Grey Dye
Dark Grey Dye
Pink Dye
Lime Dye
Dandelion Yellow
Light Blue Dye
Magenta Dye
Orange Dye
Bonemeal
Wood Shovel
Wood Pickaxe
Wood Axe
Wood Hoe
Stone Shovel
Stone Pickaxe
Stone Axe
Stone Hoe
Iron Shovel
Iron Pickaxe
Iron Axe
Iron Hoe
Gold Shovel
Gold Pickaxe
Gold Axe
Gold Hoe
Diamond Shovel
Diamond Pickaxe
Diamond Axe
Diamond Hoe
Flint and Steel
Shears
Fishing Rod
Compass
Clock
Wood Sword
Stone Sword
Iron Sword
Gold Sword
Diamond Sword
Bow
Arrow
Leather Helmet
Leather Tunic
Leather Pants
Leather Boots
Chain Helmet
Chain Chestplate
Chain Leggings
Chain Boots
Iron Helmet
Iron Chestplate
Iron Leggings
Iron Boots
Gold Helmet
Gold Chestplate
Gold Leggings
Gold Boots
Diamond Helmet
Diamond Chestplate
Diamond Leggings
Diamond Boots
Iron Horse Armor
Gold Horse Armor
Diamond Horse Armor
